SurveyYear,SiteName,Mat.Verm
2006,45,3
2007,45,2
2010,45,1
2013,45,1
2014,45,3
2015,45,2
2017,45,5
2004,48,3
2005,48,18
2006,48,3
2009,48,4
2010,48,1
2011,48,2
2014,48,1
2016,48,1
2017,48,3
2019,48,7
2008,59,3
2012,59,1
2014,59,2
2016,59,7
2017,59,12
2018,59,31
2019,59,14
2014,62,1
2016,68,1
2006,97,1
2007,97,1
2008,97,1
2009,97,1
2012,97,3
2015,97,1
2016,97,2
2017,97,2
2019,97,4
2004,101,1
2010,101,1
2013,101,1
2016,101,1
2017,101,1
2019,101,1
2004,149,16
2008,149,36
2009,149,54
2010,149,53
2011,149,46
2012,149,47
2013,149,34
2014,149,31
2015,149,23
2016,149,48
2017,149,50
2018,149,58
2019,149,55
2004,151,15
2005,151,52
2006,151,28
2007,151,40
2008,151,22
2009,151,23
2010,151,24
2011,151,52
2012,151,11
2013,151,1
2014,151,11
2015,151,12
2016,151,13
2017,151,39
2018,151,42
2019,151,34
2004,152,21
2008,152,16
2009,152,21
2010,152,34
2011,152,13
2012,152,8
2013,152,6
2014,152,19
2015,152,13
2016,152,25
2017,152,26
2018,152,33
2019,152,34
2004,154,27
2005,154,41
2007,154,46
2008,154,19
2009,154,7
2010,154,57
2011,154,51
2012,154,45
2013,154,40
2014,154,31
2015,154,9
2016,154,25
2017,154,16
2018,154,29
2019,154,36
2004,180,1
2005,180,8
2007,180,10
2008,180,4
2009,180,2
2010,180,2
2011,180,4
2012,180,9
2017,180,3
2018,180,9
2019,180,16
2005,181,21
2007,181,42
2008,181,38
2009,181,55
2010,181,37
2011,181,60
2012,181,27
2013,181,26
2014,181,18
2015,181,63
2016,181,21
2017,181,24
2018,181,61
2019,181,46
2004,182,35
2005,182,44
2007,182,36
2008,182,31
2009,182,37
2010,182,47
2011,182,54
2012,182,36
2013,182,35
2014,182,37
2015,182,61
2016,182,42
2017,182,44
2018,182,42
2019,182,53
2005,184,46
2007,184,29
2008,184,36
2009,184,37
2010,184,42
2011,184,39
2012,184,36
2013,184,20
2014,184,28
2016,184,31
2017,184,49
2018,184,48
2019,184,34
2007,185,14
2008,185,7
2009,185,19
2010,185,3
2011,185,11
2012,185,11
2013,185,5
2014,185,10
2015,185,6
2016,185,30
2017,185,4
2018,185,5
2019,185,23
2004,186,31
2005,186,36
2007,186,49
2008,186,43
2009,186,33
2010,186,39
2011,186,37
2012,186,34
2013,186,12
2014,186,31
2015,186,34
2016,186,36
2017,186,31
2018,186,40
2019,186,33
2008,228,1
2010,228,7
2011,228,6
2013,228,1
2016,228,2
2017,228,8
2018,228,3
2019,228,23
2012,229,1
2013,229,2
2017,229,3
2004,233,1
2005,233,2
2006,233,1
2008,233,1
2010,233,2
2011,233,2
2013,233,2
2015,233,1
2017,233,1
2004,291,2
2005,291,4
2012,291,1
2005,292,5
2006,292,1
2007,292,1
2004,293,1
2013,293,1
2015,293,1
2004,298,7
2007,298,2
2009,298,12
2010,298,4
2012,298,2
2013,298,4
2014,298,2
2015,298,2
2017,298,1
2007,299,1
2005,374,2
2007,374,2
2008,374,6
2009,374,1
2010,374,15
2011,374,2
2012,374,4
2013,374,6
2014,374,15
2015,374,7
2016,374,2
2017,374,14
2018,374,5
2019,374,4
2005,375,7
2006,375,15
2007,375,13
2008,375,32
2009,375,24
2010,375,33
2011,375,35
2012,375,28
2013,375,33
2014,375,11
2015,375,11
2016,375,38
2017,375,23
2018,375,41
2019,375,21
2006,383,3
2007,383,3
2008,383,3
2011,383,7
2012,383,1
2016,383,2
2008,413,1
2011,413,3
2012,413,1
2014,413,2
2017,413,9
2018,413,1
2019,413,2
